Type,ID-SEE,Title,Notes,Link
TNG,101,Encounter at Farpoint,where it all began,https://www.netflix.com/watch/70177863?trackId=13752289&tctx=0%2C0%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,125,The Neutral Zone,,https://www.netflix.com/watch/70177888?trackId=13752289&tctx=0%2C24%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,216,Q Who,,https://www.netflix.com/watch/70177904?trackId=13752289&tctx=0%2C15%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,307,The Enemy,Geordi and the Romulans,https://www.netflix.com/watch/70177917?trackId=13752289&tctx=0%2C6%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,310,The Defector,"I will not risk the lives of my crew because you think you can dance on the edge of the Neutral Zone.",https://www.netflix.com/watch/70177920?trackId=13752289&tctx=0%2C9%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,315,Yesterday's Enterprise,"The episode is cited as a favorite by crew members and reviewers and is widely regarded as one of the best episodes of the series.",https://www.netflix.com/watch/70177925?trackId=13752289&tctx=0%2C14%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,323,Sarek,,https://www.netflix.com/watch/70177933?trackId=13752289&tctx=0%2C22%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,326,Best of Both Worlds I,"This is just another page in history; isn't it? Will this be the end of our civilisation? Turn the page.",https://www.netflix.com/watch/70177936?trackId=13752289&tctx=0%2C25%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,401,Best of Both Worlds II,,https://www.netflix.com/watch/70177937?trackId=13752289&tctx=0%2C0%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,402,Family,,https://www.netflix.com/watch/70177938?trackId=13752289&tctx=0%2C1%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,421,The Drumhead,"With the first link; the chain is forged. The first speech censured; the first thought forbidden; the first freedom denied; chains us all irrevocably.",https://www.netflix.com/watch/70177957?trackId=13752289&tctx=0%2C20%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,424,The Mind's Eye,Romulans and Geordi,https://www.netflix.com/watch/70177960?trackId=13752289&tctx=0%2C23%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,426,Redemption I,,https://www.netflix.com/watch/70177962?trackId=13752289&tctx=0%2C25%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,501,Redemption II,,https://www.netflix.com/watch/70177963?trackId=13752289&tctx=0%2C0%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,507,Unification I,Spock and Romulans -- surely relevant,https://www.netflix.com/watch/70177969?trackId=13752289&tctx=0%2C6%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,508,Unification II,,https://www.netflix.com/watch/70177970?trackId=13752289&tctx=0%2C7%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,519,The First Duty,"The first duty of every Starfleet officer is to the truth. Whether it's scientific truth; or historical truth; or personal truth. It is the guiding principle upon which Starfleet is based.",https://www.netflix.com/watch/70177981?trackId=13752289&tctx=0%2C18%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,523,"I; Borg",Hugh,https://www.netflix.com/watch/70177985?trackId=13752289&tctx=0%2C22%2C3d55fa83-81e1-48ab-b747-c8e279bf5d7b-344871138%2C%2C
TNG,525,The Inner Light,"Live now. Make now always the most precious time. Now will never come again.",https://www.netflix.com/watch/70177987?trackId=13752289&tctx=0%2C24%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,526,Time's Arrow I,,https://www.netflix.com/watch/70177988?trackId=13752289&tctx=0%2C25%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,601,Time's Arrow II,,https://www.netflix.com/watch/70177989?trackId=13752289&tctx=0%2C0%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,610,Chain of Command I,"When children learn to devalue others; they can devalue anyone; including their parents.",https://www.netflix.com/watch/70177998?trackId=13752289&tctx=0%2C9%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,611,Chain of Command II,,https://www.netflix.com/watch/70177999?trackId=13752289&tctx=0%2C10%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,614,Face of the Enemy,Troi impersonates a Romulan,https://www.netflix.com/watch/70178002?trackId=13752289&tctx=0%2C13%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,615,Tapestry,"There are many parts of my youth that I'm not proud of. There were loose threads; untidy parts of me that I would like to remove. But when I pulled on one of those threads it unravelled the tapestry of my life.",https://www.netflix.com/watch/70178003?trackId=13752289&tctx=0%2C14%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,620,The Chase,"Inside us are many voices; each with its own desires; its own style; its own view of the world.",https://www.netflix.com/watch/70178008?trackId=13752289&tctx=0%2C19%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,626,Descent I,Data and the Borg,https://www.netflix.com/watch/70178014?trackId=13752289&tctx=0%2C25%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,701,Descent II,,https://www.netflix.com/watch/70178015?trackId=13752289&tctx=0%2C0%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,720,Journey's End,Trail of Tears in space,https://www.netflix.com/watch/70178034?trackId=13752289&tctx=0%2C19%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,723,Emergence,AI,https://www.netflix.com/watch/70178037?trackId=13752289&tctx=0%2C22%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,724,Preemptive Strike,,https://www.netflix.com/watch/70178038?trackId=13752289&tctx=0%2C23%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,725,All Good Things I,"I should have done this a long time ago.",https://www.netflix.com/watch/70178039?trackId=13752289&tctx=0%2C24%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
TNG,726,All Good Things II,,https://www.netflix.com/watch/70178041?trackId=13752289&tctx=0%2C25%2C69217b46-7449-421b-8233-4a8ff2e5daf9-80237591%2C%2C
Movie,7,Generations,For the stuff about Picard's family,https://www.amazon.com/gp/video/detail/B000JINWNU/ref=atv_dl_rdr
Movie,8,First Contact,,https://www.amazon.com/gp/video/detail/B000HZHPSS/ref=pd_cbs_318_5
E,317,Unity,Borg,https://www.netflix.com/watch/70178100?trackId=13752289&tctx=0%2C16%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,326,Scorpion I,Enterprise Borg,https://www.netflix.com/watch/70178109?trackId=13752289&tctx=0%2C25%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,401,Scorpion II,,https://www.netflix.com/watch/70178110?trackId=13752289&tctx=0%2C0%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,402,The Gift,Seven of Nine,https://www.netflix.com/watch/70178111?trackId=13752289&tctx=0%2C1%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,406,The Raven,More Seven,https://www.netflix.com/watch/70178115?trackId=13752289&tctx=0%2C5%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,416,Prey,"If you enjoyed [Seven's] antagonism with Species 8472 in "Scorpion; " then "Prey" is the one interesting follow up on it; with her hatred for the Borg's old foe clashing against Janeway's humanitarianism.",https://www.netflix.com/watch/70178125?trackId=13752289&tctx=0%2C15%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,421,The Omega Directive,"Another substantial disagreement [Seven] has with Janeway",https://www.netflix.com/watch/70178130?trackId=13752289&tctx=0%2C20%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,425,One,Seven being alone,https://www.netflix.com/watch/70178134?trackId=13752289&tctx=0%2C24%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,426,Hope and Fear,"Hope and Fear" is the season four finale; and provides - while dealing with the rest of the cast - a good sense of a cap on how Seven developed.",https://www.netflix.com/watch/70178135?trackId=13752289&tctx=0%2C25%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,502,Drone,,https://www.netflix.com/watch/70178137?trackId=13752289&tctx=0%2C1%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,507,Infinite Regress,Jeri is a good actor,https://www.netflix.com/watch/70178142?trackId=13752289&tctx=0%2C6%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
Movie,9,Insurrection,For the intro and Spock mindmeld scene,https://www.amazon.com/gp/video/detail/B000HZCZZ6/ref=pd_cbs_318_6
E,515,Dark Fronteir,Follow up to The Raven,https://www.netflix.com/watch/70178150?trackId=13752289&tctx=0%2C14%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
E,523,Relativity,Time travelling Seven,https://www.netflix.com/watch/70178159?trackId=13752289&tctx=0%2C22%2C622e5d42-235b-4e45-b11f-39ea3d17dd5e-342441876%2C%2C
Movie,10,Nemesis,For the beginning / wedding scene and the end,https://www.amazon.com/gp/video/detail/B000HZJ0CW/ref=pd_cbs_318_1